IBGE,MUNICIPIO,UF,PERIODO,UNIDADE,VALOR,LIRAa,LIA,ARMAD,TP_ARMAD, IIP_AE , IB_AE , ESTR_IIP_ME09 , PERC_IIP_ME09 , ESTR_IIP_MAI1MEI39 , PERC_IIP_MAI1MEI39 , ESTR_IIP_MAI4 , PERC_IIP_MAI4 , A1_VAL , A1_PERC , A2_VAL , A2_PERC , B_VAL , B_PERC , C_VAL , C_PERC , D1_VAL , D1_PERC , D2_VAL , D2_PERC , E_VAL , E_PERC , IIP_AA , IB_AA , dep_agua_val , dep_agua_perc ,dep_dom_val,dep_dom_perc,lixo_val,lixo_perc
130250,Manacapuru,AM,13 a 17 de Janeiro  2020,TRIMESTRE,1,1,2,2,lira,0.50,0.60,12.00,85.71,2.00,14.29,0.00,0.00,2.00,8.00,13.00,52.00,4.00,16.00,1.00,4.00,1.00,4.00,2.00,8.00,2.00,8.00,0.90,1.30,15.00,60.00,7.00,28.00,3.00,12.00
130255,Manaquiri,AM,13 A 15/01/2020,TRIMESTRE,1,1,2,2,lira,0.00,0.00,2.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.20,1.20,0.00,0.00,0.00,0.00,0.00,0.00
130310,Nova Olinda do Norte,AM,13 a 17 de jan 2020,TRIMESTRE,1,1,2,2,lira,0.50,0.60,2.00,66.67,1.00,33.33,0.00,0.00,0.00,0.00,1.00,14.30,1.00,14.30,0.00,0.00,0.00,0.00,5.00,71.40,0.00,0.00,0.80,1.30,1.00,14.30,1.00,14.30,5.00,71.40
130320,Novo Airao,AM,13 A 17/01/2020,TRIMESTRE,1,1,2,2,lira,4.10,4.60,0.00,0.00,3.00,60.00,2.00,40.00,0.00,0.00,25.00,37.30,22.00,32.80,3.00,4.50,4.00,6.00,13.00,19.40,0.00,0.00,7.80,10.40,25.00,37.30,25.00,37.30,17.00,25.40
130340,Parintins,AM,13 a 17/01/2020,TRIMESTRE,1,1,2,2,lira,0.50,0.70,13.00,86.67,2.00,13.33,0.00,0.00,1.00,4.20,0.00,0.00,10.00,41.70,0.00,0.00,4.00,16.70,9.00,37.50,0.00,0.00,0.80,1.60,1.00,4.20,10.00,41.70,13.00,54.20
130370,Santo Antonio do Ica,AM,06 a 10,TRIMESTRE,1,1,2,2,lira,1.00,1.00,1.00,25.00,3.00,75.00,0.00,0.00,0.00,0.00,4.00,26.70,6.00,40.00,0.00,0.00,0.00,0.00,4.00,26.70,1.00,6.70,0.00,0.00,4.00,26.70,7.00,46.70,4.00,26.70
130420,Tefe,AM,13 a 17/01/2020,TRIMESTRE,1,1,2,2,lira,2.30,2.60,2.00,25.00,5.00,62.50,1.00,12.50,0.00,0.00,31.00,66.00,10.00,21.30,2.00,4.30,1.00,2.10,3.00,6.40,0.00,0.00,0.00,0.00,31.00,66.00,12.00,25.60,4.00,8.50
130440,Urucurituba,AM,14 a 17 de Janeiro,TRIMESTRE,1,1,2,2,lira,0.00,0.00,4.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.50,5.40,0.00,0.00,0.00,0.00,0.00,0.00
130190,Itacoatiara,AM,13 a 17 janeiro 2020,TRIMESTRE,1,1,2,2,lira,2.50,2.50,8.00,42.11,7.00,36.84,4.00,21.05,0.00,0.00,11.00,11.10,30.00,30.30,5.00,5.10,34.00,34.30,18.00,18.20,1.00,1.00,4.00,4.00,11.00,11.10,36.00,36.40,52.00,52.50
130063,Beruri,AM,20 a 25/01/2020,TRIMESTRE,1,1,2,2,lira,0.10,0.30,3.00,100.00,0.00,0.00,0.00,0.00,1.00,50.00,1.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,100.00,0.00,0.00,0.00,0.00
130360,Santa Isabel do Rio Negro,AM,14 a 23 JANEIRO DE 2020,TRIMESTRE,1,1,2,2,lira,14.10,14.10,1.00,25.00,0.00,0.00,3.00,75.00,1.00,0.80,10.00,8.00,41.00,32.80,6.00,4.80,19.00,15.20,48.00,38.40,0.00,0.00,0.00,0.00,11.00,8.80,47.00,37.60,67.00,53.60
130300,Nhamunda,AM,13 a 17 de Janeiro 2020,TRIMESTRE,1,1,2,2,lira,0.00,0.00,2.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
130290,Maues,AM,20 a 24.01.2020,TRIMESTRE,1,1,2,2,lira,1.60,4.90,1.00,16.67,5.00,83.33,0.00,0.00,0.00,0.00,3.00,3.80,11.00,13.80,0.00,0.00,5.00,6.30,59.00,73.80,2.00,2.50,3.10,3.00,3.00,3.80,13.00,16.30,64.00,80.10
130014,Apui,AM,20/01/2020 a 24/01/2020,TRIMESTRE,1,1,2,2,lira,0.00,0.00,2.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.60,3.60,0.00,0.00,0.00,0.00,0.00,0.00
130270,Manicore,AM,13 a 17 JANEIRO,TRIMESTRE,1,1,2,2,lira,0.80,2.30,2.00,50.00,2.00,50.00,0.00,0.00,3.00,13.00,0.00,0.00,8.00,34.80,1.00,4.30,1.00,4.30,10.00,43.50,0.00,0.00,0.00,0.00,3.00,13.00,9.00,39.10,11.00,47.80
130380,Sao Gabriel da Cachoeira,AM,20 a 24 janeiro 2020,TRIMESTRE,1,1,2,2,lira,11.00,12.60,0.00,0.00,0.00,0.00,5.00,100.00,0.00,0.00,37.00,36.30,23.00,22.50,7.00,6.90,14.00,13.70,20.00,19.60,1.00,1.00,0.00,0.00,37.00,36.30,31.00,30.40,34.00,33.30
130080,Borba,AM,20 a 24 DE JANEIRO 2020,TRIMESTRE,1,1,2,2,lira,1.50,2.70,0.00,0.00,3.00,100.00,0.00,0.00,0.00,0.00,6.00,17.10,8.00,22.90,0.00,0.00,1.00,2.90,20.00,57.10,0.00,0.00,1.10,0.00,6.00,17.10,8.00,22.90,21.00,60.00
130230,Jutai,AM,20-01 A 24-01-2020,TRIMESTRE,1,1,2,2,lira,3.20,3.90,0.00,0.00,1.00,50.00,1.00,50.00,0.00,0.00,2.00,11.80,5.00,29.40,4.00,23.50,0.00,0.00,5.00,29.40,1.00,5.90,0.00,0.00,2.00,11.80,10.00,58.80,5.00,29.40
130356,Rio Preto da Eva,AM,20 a 24 de janeiro 2020,TRIMESTRE,1,1,2,2,lira,0.00,0.00,4.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.10,2.10,0.00,0.00,0.00,0.00,0.00,0.00
130120,Coari,AM,20 a 24 de Janeiro/2020,TRIMESTRE,1,1,2,2,lira,2.30,3.50,0.00,0.00,7.00,87.50,1.00,12.50,0.00,0.00,40.00,47.60,34.00,40.50,3.00,3.60,0.00,0.00,7.00,8.30,0.00,0.00,0.00,0.00,40.00,47.60,37.00,44.10,7.00,8.30
130110,Careiro,AM,20 a 24 de janeiro,TRIMESTRE,1,1,2,2,lira,0.00,0.00,4.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.80,0.90,0.00,0.00,0.00,0.00,0.00,0.00
130030,Autazes,AM,20 a 24 DE JANEIRO 2020,TRIMESTRE,1,1,2,2,lira,0.00,0.00,5.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
130100,Carauari,AM,20 a 24 - 01 - 2020,TRIMESTRE,1,1,2,2,lira,1.30,1.30,2.00,40.00,3.00,60.00,0.00,0.00,0.00,0.00,3.00,14.30,11.00,52.40,1.00,4.80,2.00,9.50,2.00,9.50,2.00,9.50,0.10,0.10,3.00,14.30,14.00,66.70,4.00,19.00
130423,Tonantins,AM,06/01/2020 a 10/01/2020,TRIMESTRE,1,1,2,2,lira,0.50,0.50,4.00,80.00,1.00,20.00,0.00,0.00,0.00,0.00,4.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,100.00,0.00,0.00,0.00,0.00
120042,Rodrigues Alves,AC,16/01/2020 a 20/01/2020,TRIMESTRE,1,1,2,2,lira,2.90,2.90,0.00,0.00,1.00,2.90,0.00,0.00,0.00,0.00,1.00,20.00,0.00,0.00,4.00,80.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,20.00,4.00,80.00,0.00,0.00
120033,Mancio Lima,AC,07/01/2020 a 16/01/2020,TRIMESTRE,1,1,2,2,lira,3.50,3.50,0.00,0.00,1.00,3.50,0.00,0.00,0.00,0.00,7.00,77.80,0.00,0.00,0.00,0.00,2.00,22.20,0.00,0.00,0.00,0.00,0.00,0.00,7.00,77.80,0.00,0.00,2.00,22.20
120001,Acrelandia,AC,16/01/2020 a 20/01/2020,TRIMESTRE,1,1,2,2,lira,4.50,5.20,0.00,0.00,0.00,0.00,1.00,4.50,0.00,0.00,3.00,20.00,3.00,20.00,0.00,0.00,5.00,33.30,4.00,26.70,0.00,0.00,0.00,0.00,3.00,20.00,3.00,20.00,9.00,60.00
120054,Assis Brasil,AC,13/01/2020 a 15/01/2020,TRIMESTRE,1,1,2,2,lira,1.80,1.80,0.00,0.00,1.00,1.80,0.00,0.00,0.00,0.00,4.00,33.30,0.00,0.00,0.00,0.00,3.00,25.00,5.00,41.70,0.00,0.00,0.00,0.00,4.00,33.30,0.00,0.00,8.00,66.70
120010,Brasileia,AC,06/01/2020 a 14/01/2020,TRIMESTRE,1,1,2,2,lira,4.90,5.10,0.00,0.00,0.00,0.00,1.00,4.90,0.00,0.00,10.00,45.50,2.00,9.10,0.00,0.00,2.00,9.10,8.00,36.40,0.00,0.00,0.00,0.00,10.00,45.50,2.00,9.10,10.00,45.50
120013,Bujari,AC,16/01/2020 a 20/01/2020,TRIMESTRE,1,1,2,2,lira,4.70,4.70,0.00,0.00,0.00,0.00,1.00,4.70,0.00,0.00,11.00,78.60,3.00,21.40,0.00,0.00,0.00,0.00,1.00,7.10,0.00,0.00,0.00,0.00,11.00,78.60,3.00,21.40,1.00,7.10
120017,Capixaba,AC,07/01/2020 a 16/01/2020,TRIMESTRE,1,1,2,2,lira,4.90,4.90,0.00,0.00,0.00,0.00,1.00,4.90,0.00,0.00,1.00,50.00,3.00,60.00,0.00,0.00,0.00,0.00,2.00,40.00,0.00,0.00,0.00,0.00,1.00,50.00,3.00,60.00,2.00,40.00
120020,Cruzeiro do Sul,AC,08/01/2020 a 10/01/2020,TRIMESTRE,1,1,2,2,lira,2.80,3.00,0.00,0.00,3.00,2.80,0.00,0.00,3.00,2.80,34.00,62.96,2.00,3.70,34.00,62.96,12.00,22.22,4.00,7.41,0.00,0.00,2.00,3.70,37.00,65.76,36.00,66.66,16.00,29.63
120025,Epitaciolandia,AC,13/01/2020 a 15/01/2020,TRIMESTRE,1,1,2,2,lira,7.10,8.20,0.00,0.00,0.00,0.00,1.00,7.10,0.00,14.30,4.80,4.80,19.00,57.10,0.00,0.00,3.00,1.00,1.00,4.00,12.00,0.00,0.00,0.00,4.80,19.10,31.00,57.10,4.00,5.00
120030,Feijo,AC,13/01/2020 a 15/01/2020,TRIMESTRE,1,1,2,2,lira,3.80,3.80,0.00,0.00,1.00,3.80,0.00,0.00,0.00,0.00,1.00,10.00,1.00,10.00,7.00,70.00,0.00,0.00,1.00,10.00,0.00,0.00,0.00,0.00,1.00,10.00,8.00,80.00,1.00,10.00
120034,Manoel Urbano,AC,07/01/2020 a 10/01/2020,TRIMESTRE,1,1,2,2,lira,2.10,3.50,0.00,0.00,1.00,2.10,0.00,0.00,0.00,0.00,5.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,100.00,0.00,0.00,0.00,0.00
120038,Placido de Castro,AC,13/01/2020 a 15/01/2020,TRIMESTRE,1,1,2,2,lira,5.50,5.50,0.00,0.00,0.00,0.00,1.00,5.50,0.00,0.00,3.00,27.27,3.00,27.27,0.00,0.00,1.00,9.09,3.00,27.27,1.00,9.09,0.00,0.00,3.00,27.27,4.00,36.36,4.00,36.36
120080,Porto Acre,AC,22/02/2018 a 23/02/2018,TRIMESTRE,1,1,2,2,lira,3.20,3.20,0.00,0.00,1.00,3.20,0.00,0.00,0.00,0.00,5.00,35.70,0.00,0.00,0.00,0.00,0.00,0.00,9.00,64.30,0.00,0.00,0.00,0.00,5.00,35.70,0.00,0.00,9.00,64.30
120040,Rio Branco,AC,16/12/2019 a 20/12/2019,TRIMESTRE,1,1,2,2,lira,7.62,8.67,0.00,0.00,0.00,0.00,17.00,0.08,1.00,0.10,484.00,59.60,193.00,23.80,23.00,2.80,51.00,6.30,56.00,6.90,4.00,0.50,0.00,0.00,485.00,59.70,220.00,27.10,107.00,13.20
120050,Sena Madureira,AC,16/01/2020 a 20/01/2020,TRIMESTRE,1,1,2,2,lira,4.40,4.40,0.00,0.00,0.00,0.00,1.00,4.40,0.00,0.00,8.00,38.10,5.00,5.40,2.00,9.50,1.00,4.70,5.00,23.80,0.00,0.00,0.00,0.00,8.00,38.10,7.00,14.90,6.00,28.50
120045,Senador Guiomard,AC,08/01/2020 a 10/01/2020,TRIMESTRE,1,1,2,2,lira,4.80,4.80,0.00,0.00,0.00,0.00,1.00,4.80,0.00,0.00,6.00,42.90,6.00,42.90,0.00,0.00,2.00,14.10,0.00,0.00,0.00,0.00,0.00,0.00,6.00,42.90,6.00,42.90,2.00,14.10
120060,Tarauaca ,AC,16/01/2020 a 20/01/2020,TRIMESTRE,1,1,2,2,lira,1.20,1.20,0.00,0.00,1.00,1.20,0.00,0.00,0.00,0.00,3.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,50.00,0.00,0.00,0.00,0.00,3.00,50.00,0.00,0.00,3.00,50.00
120070,Xapuri,AC,13/01/2020 a 16/01/2020,TRIMESTRE,1,1,2,2,lira,4.10,4.10,0.00,0.00,0.00,0.00,1.00,4.10,0.00,0.00,7.00,70.00,1.00,10.00,0.00,0.00,1.00,10.00,1.00,10.00,0.00,0.00,0.00,0.00,7.00,70.00,1.00,10.00,2.00,20.00
270010,agua Branca ,AL,06/01 a07/01/2020,TRIMESTRE,1,1,2,2,lira,0.80,0.80,1.00,100.00,0.00,0.00,0.00,0.00,1.00,50.00,1.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,100.00,0.00,0.00,0.00,0.00
270030,Arapiraca,AL,2 a 4 de janeiro,TRIMESTRE,1,1,2,2,lira,4.10,4.70,1.00,9.09,5.00,45.45,5.00,45.45,1.00,0.50,160.00,82.50,21.00,10.80,1.00,0.50,0.00,0.00,6.00,3.10,5.00,2.60,0.00,0.00,161.00,83.00,27.00,13.90,6.00,3.10
270040,Atalaia,AL,06/01/2020 a 08/01/2020,TRIMESTRE,1,1,2,2,lira,1.20,1.20,0.00,0.00,1.00,100.00,0.00,0.00,0.00,0.00,3.00,60.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,40.00,0.00,0.00,0.00,0.00,3.00,60.00,0.00,0.00,2.00,40.00
270050,Barra de Santo Antonio,AL,DE 02/01 A 03/01/2020,TRIMESTRE,1,1,2,2,lira,0.20,0.20,1.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,100.00,0.00,0.00,0.00,0.00
270060,Barra de Sao Miguel,AL,06/01 a 08/01,TRIMESTRE,1,1,2,2,lira,0.70,0.70,1.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,100.00,0.00,0.00,0.00,0.00
270280,Flexeiras,AL,7 e 8/jan/2020,TRIMESTRE,1,1,2,2,lira,0.00,0.00,1.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
270310,Igaci,AL,06 e 07 de Jan de 2020,TRIMESTRE,1,1,2,2,lira,5.70,5.70,0.00,0.00,0.00,0.00,1.00,100.00,0.00,0.00,13.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.00,100.00,0.00,0.00,0.00,0.00
270320,Igreja Nova,AL,43891.08333,TRIMESTRE,1,1,2,2,lira,1.30,1.30,0.00,0.00,1.00,100.00,0.00,0.00,0.00,0.00,2.00,66.70,1.00,33.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,66.70,1.00,33.30,0.00,0.00
270330,Inhapi,AL,02/01/2020 a 03/01/2020,TRIMESTRE,1,1,2,2,lira,2.40,2.40,0.00,0.00,1.00,100.00,0.00,0.00,0.00,0.00,5.00,83.30,1.00,16.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,83.30,1.00,16.70,0.00,0.00
270400,Junqueiro,AL,02/01/2020 a 03/01/2020,TRIMESTRE,1,1,2,2,lira,2.30,2.30,0.00,0.00,1.00,100.00,0.00,0.00,0.00,0.00,5.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,100.00,0.00,0.00,0.00,0.00
270480,Maribondo,AL,02 e 03/01/2020,TRIMESTRE,1,1,2,2,lira,5.10,5.10,0.00,0.00,0.00,0.00,1.00,100.00,0.00,0.00,8.00,66.70,4.00,33.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,66.70,4.00,33.30,0.00,0.00
270500,Mata Grande,AL,06 E 07 DE JAN 2020,TRIMESTRE,1,1,2,2,lira,1.00,1.00,0.00,0.00,1.00,100.00,0.00,0.00,1.00,50.00,1.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,100.00,0.00,0.00,0.00,0.00
270550,Murici,AL,06/01 A 09/01/2020,TRIMESTRE,1,1,2,2,lira,3.70,3.70,0.00,0.00,1.00,100.00,0.00,0.00,0.00,0.00,10.00,66.70,2.00,13.30,2.00,13.30,0.00,0.00,0.00,0.00,1.00,6.70,0.00,0.00,10.00,66.70,5.00,33.30,0.00,0.00
270580,Olho d'agua do Casado,AL,06/01/2020 a 07/01/2020,TRIMESTRE,1,1,2,2,lira,0.90,0.90,1.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,50.00,0.00,0.00,1.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,50.00,1.00,50.00,0.00,0.00
270644,Paripueira,AL,06 e 07/Janeiro de  2020,TRIMESTRE,1,1,2,2,lira,0.00,0.00,2.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
270650,Passo de Camaragibe,AL,07/01/2020 a 08/01/2020,TRIMESTRE,1,1,2,2,lira,0.00,0.00,1.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
270130,Cajueiro,AL,06/01 a 09/01/2020,TRIMESTRE,1,1,2,2,lira,0.00,0.00,1.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
270180,Carneiros,AL,02. 03 e 06/01/2020,TRIMESTRE,1,1,2,2,lira,4.20,4.70,0.00,0.00,0.00,0.00,1.00,100.00,1.00,10.00,9.00,90.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,100.00,0.00,0.00,0.00,0.00
270670,Penedo,AL,02/01/2020 a 03/01/2020,TRIMESTRE,1,1,2,2,lira,0.60,0.60,2.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,80.00,1.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,80.00,1.00,20.00,0.00,0.00
270690,Pilar,AL,02/01 a 07/01/2020,TRIMESTRE,1,1,2,2,lira,0.20,0.20,2.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,100.00,0.00,0.00,0.00,0.00
270790,Santa Luzia do Norte,AL,06/01/20 a 09 de janeiro,TRIMESTRE,1,1,2,2,lira,1.60,1.60,0.00,0.00,1.00,100.00,0.00,0.00,0.00,0.00,4.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,100.00,0.00,0.00,0.00,0.00
270800,Santana do Ipanema,AL,02 a 03 de janeiro,TRIMESTRE,1,1,2,2,lira,1.40,1.50,0.00,0.00,3.00,100.00,0.00,0.00,1.00,9.10,10.00,90.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.00,100.00,0.00,0.00,0.00,0.00
270850,Sao Luis do Quitunde,AL,06/01/2020 a 08/01/2020,TRIMESTRE,1,1,2,2,lira,1.70,1.90,0.00,0.00,2.00,100.00,0.00,0.00,0.00,0.00,5.00,55.60,3.00,33.30,0.00,0.00,1.00,11.10,0.00,0.00,0.00,0.00,0.00,0.00,5.00,55.60,3.00,33.30,1.00,11.10
270860,Sao Miguel dos Campos,AL,02/01 a 08/01/2020,TRIMESTRE,1,1,2,2,lira,0.00,0.00,3.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
270920,Traipu,AL,06a06/01/2020,TRIMESTRE,1,1,2,2,lira,0.80,0.80,1.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,100.00,0.00,0.00,0.00,0.00
270070,Batalha,AL,43983,TRIMESTRE,1,1,2,2,lira,2.20,2.20,0.00,0.00,1.00,100.00,0.00,0.00,0.00,0.00,4.00,80.00,0.00,0.00,1.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,80.00,1.00,20.00,0.00,0.00
270100,Boca da Mata,AL,44044,TRIMESTRE,1,1,2,2,lira,1.70,1.70,0.00,0.00,1.00,100.00,0.00,0.00,1.00,25.00,2.00,50.00,0.00,0.00,1.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,75.00,1.00,25.00,0.00,0.00
